tokenizer	language_script	group	sentences	avg_tokens	tokens_per_word	tokens_per_char	unk_token_pct	single_char_token_pct	byte_token_pct
v5_tokenizer	san_Deva	head	200	24.620000	2.453413	0.352899	0.000000	23.720552	0.000000
xlmr_base	hye_Armn	head	200	77.960000	2.235412	0.344956	0.000000	28.982812	0.000000
v5_tokenizer	hye_Armn	head	200	71.190000	2.041290	0.315000	0.000000	26.239640	0.000000
xlmr_base	pus_Arab	head	200	39.280000	1.548591	0.419568	0.000000	26.769348	0.000000
v5_tokenizer	pus_Arab	head	200	36.750000	1.448847	0.392544	0.000000	24.408163	0.000000
xlmr_base	som_Arab	head	200	65.495000	3.016118	0.591163	0.000000	57.920452	0.000000
v5_tokenizer	som_Arab	head	200	40.650000	1.871978	0.366910	0.000000	22.103321	0.000000
xlmr_base	kan_Knda	head	200	32.415000	2.424458	0.337463	0.000000	24.741632	0.000000
v5_tokenizer	kan_Knda	head	200	30.520000	2.282723	0.317735	0.000000	21.313893	0.000000
xlmr_base	isl_Latn	head	200	43.155000	1.823964	0.346307	0.000000	21.758777	0.000000
v5_tokenizer	isl_Latn	head	200	41.275000	1.744505	0.331220	0.000000	21.114476	0.000000
xlmr_base	ori_Orya	head	200	64.250000	2.168045	0.377708	0.000000	27.587549	0.000000
v5_tokenizer	ori_Orya	head	200	54.900000	1.852539	0.322742	0.000000	21.220401	0.000000
xlmr_base	afr_Latn	head	200	27.655000	1.535962	0.316926	0.000000	17.031278	0.000000
v5_tokenizer	afr_Latn	head	200	26.850000	1.491252	0.307701	0.000000	16.685289	0.000000
xlmr_base	deu_Latn	head	200	22.420000	1.618188	0.272203	0.000000	16.681534	0.000000
v5_tokenizer	deu_Latn	head	200	21.990000	1.587153	0.266982	0.000000	16.552979	0.000000
xlmr_base	urd_Arab	head	200	38.350000	1.369398	0.375190	0.000000	15.997392	0.000000
v5_tokenizer	urd_Arab	head	200	36.805000	1.314230	0.360074	0.000000	12.878685	0.000000
xlmr_base	bul_Cyrl	head	200	24.715000	1.621187	0.310666	0.000000	24.074449	0.000000
v5_tokenizer	bul_Cyrl	head	200	24.200000	1.587406	0.304192	0.000000	23.657025	0.000000
xlmr_base	tgl_Latn	head	200	29.415000	1.610898	0.313693	0.000000	15.995241	0.000000
v5_tokenizer	tgl_Latn	head	200	25.490000	1.395947	0.271835	0.000000	15.496273	0.000000
xlmr_base	eus_Latn	head	200	26.375000	2.016437	0.291195	0.000000	18.540284	0.000000
v5_tokenizer	eus_Latn	head	200	25.390000	1.941131	0.280320	0.000000	18.826310	0.000000
xlmr_base	pol_Latn	head	200	36.165000	1.857473	0.311579	0.000000	26.185539	0.000000
v5_tokenizer	pol_Latn	head	200	35.030000	1.799178	0.301801	0.000000	25.635170	0.000000
xlmr_base	lat_Latn	head	200	77.525000	1.964150	0.324610	0.000000	22.741051	0.000000
v5_tokenizer	lat_Latn	head	200	73.345000	1.858247	0.307108	0.000000	22.523689	0.000000
xlmr_base	tur_Latn	head	200	19.265000	1.780499	0.283663	0.000000	18.453153	0.000000
v5_tokenizer	tur_Latn	head	200	18.550000	1.714418	0.273136	0.000000	17.601078	0.000000
xlmr_base	fra_Latn	head	200	27.635000	1.565279	0.310001	0.000000	25.673964	0.000000
v5_tokenizer	fra_Latn	head	200	27.135000	1.536958	0.304392	0.000000	25.428413	0.000000
xlmr_base	cat_Latn	head	200	32.560000	1.583658	0.319937	0.000000	25.460688	0.000000
v5_tokenizer	cat_Latn	head	200	31.825000	1.547909	0.312715	0.000000	25.216025	0.000000
xlmr_base	uig_Arab	head	200	54.855000	2.723684	0.406018	0.000000	22.605050	0.000000
