model_key	model_group	seed	direction	split	side	language	item_id	x	y
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.38	0.07024664	-0.0234685
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.39	0.0694937	-0.00739672
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.4	0.06796075	-0.02881987
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.40	0.06628226	0.04959713
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.41	0.06949368	-0.02405156
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.42	0.07030699	-0.00738824
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.43	0.0704347	0.00306583
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.44	0.0705989	0.03730548
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.45	0.06375355	-0.01597198
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.46	0.06913751	0.03261907
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.47	0.06928337	-0.00145488
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.48	0.07108647	0.01888396
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.5	0.06935903	0.00576358
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.6	0.06868444	0.02418775
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.7	0.066866	-0.0114578
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.8	0.06807103	0.07516443
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.10.9	0.06689599	-0.02149311
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.1	0.07158542	0.02798855
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.10	0.07062663	0.03924672
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.11	0.0690987	-0.01314405
