model_key	model_group	seed	direction	src_lang	tgt_lang	split	score_type	examples	aligned_score_mean	aligned_score_std	hard_negative_score_mean	margin_mean	margin_min	recall_at_1	recall_at_5	mrr	median_rank	hubness_at10_max_rate	hubness_at10_gini
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	final_test	csls_k10	1006	-0.006247	0.002669	-0.005014	-0.001233	-0.026856	0.008946	0.016899	0.023613	221.0	0.40159	0.907348
fvt_seed17	third_try_fvt	17	syr->cop	syr	cop	final_test	centered_csls_k10	1006	-0.563565	0.390118	-0.051436	-0.512128	-2.112056	0.001988	0.020875	0.020191	207.0	0.045726	0.399547
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	dev	raw_cosine	678	0.990824	0.002542	0.996653	-0.00583	-0.01212	0.001475	0.011799	0.014215	285.0	0.988201	0.97908
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	dev	centered_cosine	678	0.252533	0.274224	0.638261	-0.385728	-1.289944	0.001475	0.023599	0.02208	173.0	0.221239	0.784473
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	dev	csls_k10	678	-0.005479	0.002668	0.000203	-0.005681	-0.018365	0.001475	0.017699	0.017286	244.0	0.910029	0.972621
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	dev	centered_csls_k10	678	-0.593914	0.451789	0.026117	-0.620031	-2.468437	0.0	0.022124	0.022042	167.0	0.151917	0.619035
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	final_test	raw_cosine	1006	0.990276	0.002341	0.996036	-0.005759	-0.015977	0.002982	0.008946	0.011236	423.0	0.983101	0.987637
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	final_test	centered_cosine	1006	0.296786	0.258036	0.643536	-0.34675	-1.1326	0.002982	0.020875	0.019173	217.0	0.148111	0.807813
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	final_test	csls_k10	1006	-0.005751	0.002544	8e-05	-0.005831	-0.028664	0.002982	0.008946	0.013265	356.0	0.843936	0.982948
fvt_seed23	third_try_fvt	23	cop->syr	cop	syr	final_test	centered_csls_k10	1006	-0.52528	0.376574	0.017547	-0.542827	-2.128789	0.003976	0.018887	0.02047	204.0	0.091451	0.658656
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	dev	raw_cosine	678	0.990824	0.002542	0.991664	-0.00084	-0.019732	0.00295	0.016224	0.020712	175.0	0.449852	0.914118
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	dev	centered_cosine	678	0.252533	0.274224	0.544451	-0.291918	-1.297794	0.001475	0.017699	0.021618	154.0	0.141593	0.579735
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	dev	csls_k10	678	-0.005479	0.002668	-0.004308	-0.001171	-0.023342	0.011799	0.036873	0.033277	153.0	0.30236	0.828633
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	dev	centered_csls_k10	678	-0.593914	0.451789	-0.036871	-0.557044	-2.553607	0.004425	0.025074	0.025381	153.0	0.069322	0.414016
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	final_test	raw_cosine	1006	0.990276	0.002341	0.99108	-0.000803	-0.023587	0.002982	0.011928	0.017456	235.0	0.663022	0.942479
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	final_test	centered_cosine	1006	0.296786	0.258036	0.54361	-0.246824	-1.07188	0.005964	0.024851	0.024	213.0	0.073559	0.543325
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	final_test	csls_k10	1006	-0.005751	0.002544	-0.004523	-0.001229	-0.031023	0.005964	0.021869	0.021902	219.0	0.418489	0.904092
fvt_seed23	third_try_fvt	23	syr->cop	syr	cop	final_test	centered_csls_k10	1006	-0.52528	0.376574	-0.045438	-0.479842	-2.067281	0.005964	0.023857	0.02443	195.0	0.037773	0.383847
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	raw_cosine	678	0.972255	0.002848	0.983912	-0.011656	-0.019203	0.001475	0.0059	0.010719	335.0	1.0	0.985156
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	centered_cosine	678	0.062398	0.133609	0.368973	-0.306575	-0.889936	0.001475	0.011799	0.014382	233.0	0.355457	0.907631
