run_id	vocab_size	seed	checkpoint_path	stage	category	non_special_tokens	masked_tokens	mean_loss	loss_share_pct	token_share_pct	status
step23_v2_vocab_objective_probe_20260611_203226	16000	13	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/vocab_16000/adapted_extended_seed13	final	added	121753	18200	6.864010	69.450681	48.194006	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	17	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/init/xlmr_v2_16000_fvt	zero_step	all	252631	37759	8.053223	100.000000	100.000000	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	17	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/init/xlmr_v2_16000_fvt	zero_step	base	130878	19653	6.696240	43.278242	51.805994	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	17	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/init/xlmr_v2_16000_fvt	zero_step	added	121753	18106	9.526150	56.721758	48.194006	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	17	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/vocab_16000/adapted_extended_seed17	final	all	252631	37759	4.773427	100.000000	100.000000	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	17	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/vocab_16000/adapted_extended_seed17	final	base	130878	19653	2.828401	30.840337	51.805994	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	17	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/vocab_16000/adapted_extended_seed17	final	added	121753	18106	6.884638	69.159663	48.194006	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	23	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/init/xlmr_v2_16000_fvt	zero_step	all	252631	37909	8.039393	100.000000	100.000000	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	23	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/init/xlmr_v2_16000_fvt	zero_step	base	130878	19647	6.668702	42.990446	51.805994	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	23	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/init/xlmr_v2_16000_fvt	zero_step	added	121753	18262	9.514038	57.009554	48.194006	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	23	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/vocab_16000/adapted_extended_seed23	final	all	252631	37909	4.840624	100.000000	100.000000	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	23	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/vocab_16000/adapted_extended_seed23	final	base	130878	19647	2.803614	30.017247	51.805994	PASS
step23_v2_vocab_objective_probe_20260611_203226	16000	23	/home/axt/mnt2/jongha/second_try/checkpoints/23_v2_vocab_size_objective_probe/vocab_16000/adapted_extended_seed23	final	added	121753	18262	7.032121	69.982754	48.194006	PASS
