model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_mean_conv5way_step17000	ara_Arab	ara_Arab	head	head	Semitic	Semitic	Arab	Arab	1.000000
v52_mean_conv5way_step17000	ara_Arab	bam_Latn	head	tail	Semitic	Mande	Arab	Latn	-0.201733
v52_mean_conv5way_step17000	ara_Arab	cat_Latn	head	head	Semitic	Romance	Arab	Latn	-0.173241
v52_mean_conv5way_step17000	ara_Arab	ces_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.049433
v52_mean_conv5way_step17000	ara_Arab	cmn_Hani	head	head	Semitic	Sinitic	Arab	Hani	0.133475
v52_mean_conv5way_step17000	ara_Arab	csb_Latn	head	tail	Semitic	Slavic	Arab	Latn	-0.168608
v52_mean_conv5way_step17000	ara_Arab	deu_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.058526
v52_mean_conv5way_step17000	ara_Arab	dtp_Latn	head	tail	Semitic	Austronesian	Arab	Latn	0.000380
v52_mean_conv5way_step17000	ara_Arab	ell_Grek	head	head	Semitic	Hellenic	Arab	Grek	0.136225
v52_mean_conv5way_step17000	ara_Arab	eng_Latn	head	head	Semitic	Germanic	Arab	Latn	0.005636
v52_mean_conv5way_step17000	ara_Arab	epo_Latn	head	head	Semitic	Constructed	Arab	Latn	-0.230404
v52_mean_conv5way_step17000	ara_Arab	est_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.076118
v52_mean_conv5way_step17000	ara_Arab	fin_Latn	head	head	Semitic	Uralic	Arab	Latn	0.024615
v52_mean_conv5way_step17000	ara_Arab	fra_Latn	head	head	Semitic	Romance	Arab	Latn	-0.067572
v52_mean_conv5way_step17000	ara_Arab	fur_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.239361
v52_mean_conv5way_step17000	ara_Arab	hau_Latn	head	head	Semitic	Afro-Asiatic	Arab	Latn	0.021522
v52_mean_conv5way_step17000	ara_Arab	heb_Hebr	head	head	Semitic	Semitic	Arab	Hebr	0.544425
v52_mean_conv5way_step17000	ara_Arab	hrv_Latn	head	head	Semitic	Slavic	Arab	Latn	0.078246
v52_mean_conv5way_step17000	ara_Arab	hun_Latn	head	head	Semitic	Uralic	Arab	Latn	0.008321
v52_mean_conv5way_step17000	ara_Arab	ile_Latn	head	tail	Semitic	Constructed	Arab	Latn	-0.304283
v52_mean_conv5way_step17000	ara_Arab	ind_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.199607
v52_mean_conv5way_step17000	ara_Arab	ita_Latn	head	head	Semitic	Romance	Arab	Latn	-0.040872
v52_mean_conv5way_step17000	ara_Arab	jav_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.110788
v52_mean_conv5way_step17000	ara_Arab	kor_Hang	head	head	Semitic	Koreanic	Arab	Hang	0.074406
v52_mean_conv5way_step17000	ara_Arab	lao_Laoo	head	head	Semitic	Kra-Dai	Arab	Laoo	0.103271
v52_mean_conv5way_step17000	ara_Arab	lij_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.286650
v52_mean_conv5way_step17000	ara_Arab	mar_Deva	head	head	Semitic	Indo-Aryan	Arab	Deva	0.147522
v52_mean_conv5way_step17000	ara_Arab	mlg_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.007422
v52_mean_conv5way_step17000	ara_Arab	msa_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.175980
v52_mean_conv5way_step17000	ara_Arab	nld_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.078377
v52_mean_conv5way_step17000	ara_Arab	pol_Latn	head	head	Semitic	Slavic	Arab	Latn	0.063397
v52_mean_conv5way_step17000	ara_Arab	por_Latn	head	head	Semitic	Romance	Arab	Latn	-0.000801
v52_mean_conv5way_step17000	ara_Arab	ron_Latn	head	head	Semitic	Romance	Arab	Latn	0.021278
v52_mean_conv5way_step17000	ara_Arab	slk_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.062364
v52_mean_conv5way_step17000	ara_Arab	slv_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.010746
v52_mean_conv5way_step17000	ara_Arab	tgl_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.018594
v52_mean_conv5way_step17000	ara_Arab	xav_Latn	head	tail	Semitic	Macro-Je	Arab	Latn	-0.223172
v52_mean_conv5way_step17000	ara_Arab	xho_Latn	head	head	Semitic	Bantu	Arab	Latn	-0.027604
v52_mean_conv5way_step17000	bam_Latn	ara_Arab	tail	head	Mande	Semitic	Latn	Arab	-0.201733
v52_mean_conv5way_step17000	bam_Latn	bam_Latn	tail	tail	Mande	Mande	Latn	Latn	1.000000
v52_mean_conv5way_step17000	bam_Latn	cat_Latn	tail	head	Mande	Romance	Latn	Latn	-0.368335
v52_mean_conv5way_step17000	bam_Latn	ces_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.422094
v52_mean_conv5way_step17000	bam_Latn	cmn_Hani	tail	head	Mande	Sinitic	Latn	Hani	-0.111052
v52_mean_conv5way_step17000	bam_Latn	csb_Latn	tail	tail	Mande	Slavic	Latn	Latn	0.231560
v52_mean_conv5way_step17000	bam_Latn	deu_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.446487
v52_mean_conv5way_step17000	bam_Latn	dtp_Latn	tail	tail	Mande	Austronesian	Latn	Latn	0.550376
v52_mean_conv5way_step17000	bam_Latn	ell_Grek	tail	head	Mande	Hellenic	Latn	Grek	-0.420632
v52_mean_conv5way_step17000	bam_Latn	eng_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.362868
v52_mean_conv5way_step17000	bam_Latn	epo_Latn	tail	head	Mande	Constructed	Latn	Latn	-0.031453
v52_mean_conv5way_step17000	bam_Latn	est_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.142724
v52_mean_conv5way_step17000	bam_Latn	fin_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.284374
v52_mean_conv5way_step17000	bam_Latn	fra_Latn	tail	head	Mande	Romance	Latn	Latn	-0.473864
v52_mean_conv5way_step17000	bam_Latn	fur_Latn	tail	tail	Mande	Romance	Latn	Latn	0.279280
v52_mean_conv5way_step17000	bam_Latn	hau_Latn	tail	head	Mande	Afro-Asiatic	Latn	Latn	0.481120
v52_mean_conv5way_step17000	bam_Latn	heb_Hebr	tail	head	Mande	Semitic	Latn	Hebr	-0.341251
v52_mean_conv5way_step17000	bam_Latn	hrv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.340347
v52_mean_conv5way_step17000	bam_Latn	hun_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.361595
v52_mean_conv5way_step17000	bam_Latn	ile_Latn	tail	tail	Mande	Constructed	Latn	Latn	0.089666
v52_mean_conv5way_step17000	bam_Latn	ind_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.233261
v52_mean_conv5way_step17000	bam_Latn	ita_Latn	tail	head	Mande	Romance	Latn	Latn	-0.407525
v52_mean_conv5way_step17000	bam_Latn	jav_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.389163
v52_mean_conv5way_step17000	bam_Latn	kor_Hang	tail	head	Mande	Koreanic	Latn	Hang	-0.164660
v52_mean_conv5way_step17000	bam_Latn	lao_Laoo	tail	head	Mande	Kra-Dai	Latn	Laoo	0.113122
v52_mean_conv5way_step17000	bam_Latn	lij_Latn	tail	tail	Mande	Romance	Latn	Latn	0.279956
v52_mean_conv5way_step17000	bam_Latn	mar_Deva	tail	head	Mande	Indo-Aryan	Latn	Deva	-0.068416
v52_mean_conv5way_step17000	bam_Latn	mlg_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.411922
