metric	method	step	model_key	score_name	direction	head	tail	all	head_status	tail_status	all_status	head_languages	tail_languages	all_languages
pos	fvt	50000	v52_fvt_conv5way_step43000	f1	higher_is_better	0.556719	0.298253	0.548198	complete	complete	complete	88	3	91
pos	weighted_fvt	50000	v52_weighted_fvt_conv5way_step50000	f1	higher_is_better	0.551888	0.309186	0.543887	complete	complete	complete	88	3	91
pos	family_mean	50000	v52_family_mean_conv5way_step50000	f1	higher_is_better	0.554110	0.322369	0.546470	complete	complete	complete	88	3	91
pos	xlmr_base	baseline	xlmr_base	f1	higher_is_better	0.547887	0.281760	0.539113	complete	complete	complete	88	3	91
pos	xlmr_large	baseline	xlmr_large	f1	higher_is_better	0.554514	0.231247	0.543857	complete	complete	complete	88	3	91
text_classification	random	50000	v52_random_conv5way_step43000	macro_f1	higher_is_better	0.725865		0.725865	complete	not_applicable	complete	1	0	1
text_classification	mean	50000	v52_mean_conv5way_step43000	macro_f1	higher_is_better	0.682036		0.682036	complete	not_applicable	complete	1	0	1
text_classification	fvt	50000	v52_fvt_conv5way_step43000	macro_f1	higher_is_better	0.773809		0.773809	complete	not_applicable	complete	1	0	1
text_classification	weighted_fvt	50000	v52_weighted_fvt_conv5way_step50000	macro_f1	higher_is_better	0.749227		0.749227	complete	not_applicable	complete	1	0	1
text_classification	family_mean	50000	v52_family_mean_conv5way_step50000	macro_f1	higher_is_better	0.742077		0.742077	complete	not_applicable	complete	1	0	1
text_classification	xlmr_base	baseline	xlmr_base	macro_f1	higher_is_better	0.592876		0.592876	complete	not_applicable	complete	1	0	1
text_classification	xlmr_large	baseline	xlmr_large	macro_f1	higher_is_better	0.729472		0.729472	complete	not_applicable	complete	1	0	1
