model_key	run_name	record_index	step	total_steps	loss	learning_rate	epoch	log_path
v5_random	v5_random_mlm_10k	29	2900	10000	3.5935	3.553e-05	0.16	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	30	3000	10000	3.5577	3.503e-05	0.17	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	31	3100	10000	3.5466	3.453e-05	0.17	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	32	3200	10000	3.5287	3.403e-05	0.18	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	33	3300	10000	3.4999	3.353e-05	0.18	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	34	3400	10000	3.4949	3.303e-05	0.19	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	35	3500	10000	3.4775	3.253e-05	0.19	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	36	3600	10000	3.4633	3.2029999999999997e-05	0.2	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	37	3700	10000	3.4436	3.1530000000000005e-05	0.21	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	38	3800	10000	3.4321	3.1030000000000006e-05	0.21	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	39	3900	10000	3.415	3.053e-05	0.22	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
