model_key	language_script	group	examples	masked_tokens	mean_nll	pseudo_perplexity	elapsed_sec
v5_random	pes_Arab	head	100	1476	2.226548	9.267821	2.136
v5_random	san_Latn	head	100	3567	0.073806	1.076598	14.068
v5_random	kaz_Cyrl	head	100	3663	2.344414	10.427160	10.342
v5_random	kur_Latn	head	100	5340	3.688810	39.997236	22.018
v5_random	mal_Mlym	head	100	3080	2.574627	13.126417	6.638
v5_random	nep_Deva	head	100	2578	3.331760	27.987561	7.250
v5_random	gle_Latn	head	100	4077	3.091229	22.004099	13.597
v5_random	swa_Latn	head	100	2760	3.163414	23.651209	5.405
v5_random	som_Latn	head	100	4151	4.013904	55.362563	12.794
v5_random	lit_Latn	head	100	3457	2.498815	12.168067	9.798
v5_random	fur_Latn	v5_target	100	3674	3.414386	30.398292	10.899
v5_random	krc_Cyrl	v5_target	100	3650	4.133745	62.411234	10.982
v5_random	acm_Arab	v5_target	100	1844	5.272366	194.876545	2.843
v5_random	dzo_Tibt	v5_target	100	2276	5.525241	250.946804	6.867
v5_random	sat_Olck	v5_target	100	5988	3.785260	44.047140	25.184
v5_random	mad_Latn	v5_target	100	2207	2.481228	11.955939	3.528
v5_random	bam_Latn	v5_target	100	3212	5.054507	156.727170	8.012
v5_random	kjb_Latn	v5_target	100	4036	1.631499	5.111533	11.999
v5_random	quw_Latn	v5_target	100	2648	4.384091	80.165299	4.422
v5_random	rap_Latn	v5_target	100	1947	1.548149	4.702759	2.889
