run_id	variant_id	mode	seed	checkpoint_path	stage	category	non_special_tokens	masked_tokens	mean_loss	loss_share_pct	token_share_pct	status
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	13	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed13	final	base	119210	17855	2.555494	25.492647	49.543259	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	13	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed13	final	added	121408	18316	7.280954	74.507354	50.456741	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	17	/home/axt/mnt2/jongha/second_try/checkpoints/15_v2_mlm_control_token500k/adapted_extended_seed17	source	all	240618	36034	4.971760	100.000000	100.000000	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	17	/home/axt/mnt2/jongha/second_try/checkpoints/15_v2_mlm_control_token500k/adapted_extended_seed17	source	base	119210	17715	2.617263	25.880094	49.543259	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	17	/home/axt/mnt2/jongha/second_try/checkpoints/15_v2_mlm_control_token500k/adapted_extended_seed17	source	added	121408	18319	7.248626	74.119906	50.456741	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	17	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed17	final	all	240618	36034	4.963229	100.000000	100.000000	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	17	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed17	final	base	119210	17715	2.583098	25.586167	49.543259	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	17	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed17	final	added	121408	18319	7.264885	74.413833	50.456741	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	23	/home/axt/mnt2/jongha/second_try/checkpoints/15_v2_mlm_control_token500k/adapted_extended_seed23	source	all	240618	35958	4.929859	100.000000	100.000000	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	23	/home/axt/mnt2/jongha/second_try/checkpoints/15_v2_mlm_control_token500k/adapted_extended_seed23	source	base	119210	17759	2.522987	25.275714	49.543259	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	23	/home/axt/mnt2/jongha/second_try/checkpoints/15_v2_mlm_control_token500k/adapted_extended_seed23	source	added	121408	18199	7.278540	74.724286	50.456741	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	23	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed23	final	all	240618	35958	4.915630	100.000000	100.000000	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	23	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed23	final	base	119210	17759	2.494066	25.058305	49.543259	PASS
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	23	/home/axt/mnt2/jongha/second_try/checkpoints/20_v2_staged_added_token_repair/new_row_added_lr1e-5/new_row_added_lr1e-5_seed23	final	added	121408	18199	7.278647	74.941695	50.456741	PASS
