run_id	variant_id	mode	learning_rate	completed	trainable_pass	added_improved	base_nonworse	all_nonworse	mean_added_delta	mean_base_delta	mean_all_delta	status	notes
step20_v2_staged_added_repair_20260611_190908	bias_only_added_lr1e-3	bias_only	0.00100000	3/3	3/3	0/3	3/3	2/3	0.024206	-0.027598	-0.001321	FAIL	variant passes only if every seed passes every repair gate
step20_v2_staged_added_repair_20260611_190908	bias_only_added_lr1e-4	bias_only	0.00010000	3/3	3/3	2/3	3/3	3/3	-0.001867	-0.004243	-0.003036	FAIL	variant passes only if every seed passes every repair gate
step20_v2_staged_added_repair_20260611_190908	new_row_added_lr1e-5	new_row_only	0.00001000	3/3	3/3	1/3	3/3	3/3	-0.004565	-0.029149	-0.016669	FAIL	variant passes only if every seed passes every repair gate
