model_key	pair_type	group	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_mean_conv5way_step36000	aligned_bible_src_eng	all	300	0.922487	0.055026	0.880744	0.961093
v52_mean_conv5way_step36000	aligned_bible_src_eng	v5_target	300	0.922487	0.055026	0.880744	0.961093
v52_mean_conv5way_step36000	aligned_tatoeba_src_eng	all	300	0.925670	0.195709	0.858424	0.983627
v52_mean_conv5way_step36000	aligned_tatoeba_src_eng	v5_target	300	0.925670	0.195709	0.858424	0.983627
v52_mean_conv5way_step36000	roundtrip_eng_pivot	all	300	0.919540	0.029067	0.880744	0.950689
v52_mean_conv5way_step36000	roundtrip_eng_pivot	v5_target	300	0.919540	0.029067	0.880744	0.950689
v52_mean_conv5way_step36000	roundtrip_src_eng	all	300	0.920126	0.034912	0.880744	0.950689
v52_mean_conv5way_step36000	roundtrip_src_eng	v5_target	300	0.920126	0.034912	0.880744	0.950689
v52_mean_conv5way_step36000	roundtrip_src_pivot	all	300	0.937822	0.314861	0.891744	0.979847
v52_mean_conv5way_step36000	roundtrip_src_pivot	v5_target	300	0.937822	0.314861	0.891744	0.979847
v52_mean_conv5way_step36000	same_language_bible_adjacent	all	300	0.979019	0.748197	0.922873	0.997649
v52_mean_conv5way_step36000	same_language_bible_adjacent	v5_target	300	0.979019	0.748197	0.922873	0.997649
v52_mean_conv5way_step36000	same_language_tatoeba_adjacent	all	300	0.945893	0.380548	0.878540	0.998624
v52_mean_conv5way_step36000	same_language_tatoeba_adjacent	v5_target	300	0.945893	0.380548	0.878540	0.998624
