model_key	pair_type	group	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_random_conv5way_step33000	aligned_bible_src_eng	all	300	0.921445	0.045128	0.868082	0.970862
v52_random_conv5way_step33000	aligned_bible_src_eng	v5_target	300	0.921445	0.045128	0.868082	0.970862
v52_random_conv5way_step33000	aligned_tatoeba_src_eng	all	300	0.922676	0.187449	0.840964	0.984504
v52_random_conv5way_step33000	aligned_tatoeba_src_eng	v5_target	300	0.922676	0.187449	0.840964	0.984504
v52_random_conv5way_step33000	roundtrip_eng_pivot	all	300	0.919026	0.020612	0.868082	0.947849
v52_random_conv5way_step33000	roundtrip_eng_pivot	v5_target	300	0.919026	0.020612	0.868082	0.947849
v52_random_conv5way_step33000	roundtrip_src_eng	all	300	0.918231	0.022912	0.868082	0.951170
v52_random_conv5way_step33000	roundtrip_src_eng	v5_target	300	0.918231	0.022912	0.868082	0.951170
v52_random_conv5way_step33000	roundtrip_src_pivot	all	300	0.938879	0.342265	0.890984	0.979724
v52_random_conv5way_step33000	roundtrip_src_pivot	v5_target	300	0.938879	0.342265	0.890984	0.979724
v52_random_conv5way_step33000	same_language_bible_adjacent	all	300	0.977921	0.744255	0.911915	0.997544
v52_random_conv5way_step33000	same_language_bible_adjacent	v5_target	300	0.977921	0.744255	0.911915	0.997544
v52_random_conv5way_step33000	same_language_tatoeba_adjacent	all	300	0.943483	0.355594	0.874544	0.997732
v52_random_conv5way_step33000	same_language_tatoeba_adjacent	v5_target	300	0.943483	0.355594	0.874544	0.997732
