model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_random_conv5way_step3000	bam_Latn	epo_Latn	tail	head	Mande	Constructed	Latn	Latn	-0.095585
v52_random_conv5way_step3000	bam_Latn	est_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.246853
v52_random_conv5way_step3000	bam_Latn	fin_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.402743
v52_random_conv5way_step3000	bam_Latn	fra_Latn	tail	head	Mande	Romance	Latn	Latn	-0.556110
v52_random_conv5way_step3000	bam_Latn	fur_Latn	tail	tail	Mande	Romance	Latn	Latn	0.433408
v52_random_conv5way_step3000	bam_Latn	hau_Latn	tail	head	Mande	Afro-Asiatic	Latn	Latn	0.574111
v52_random_conv5way_step3000	bam_Latn	heb_Hebr	tail	head	Mande	Semitic	Latn	Hebr	-0.420167
v52_random_conv5way_step3000	bam_Latn	hrv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.408097
v52_random_conv5way_step3000	bam_Latn	hun_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.471618
v52_random_conv5way_step3000	bam_Latn	ile_Latn	tail	tail	Mande	Constructed	Latn	Latn	0.193412
v52_random_conv5way_step3000	bam_Latn	ind_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.386424
v52_random_conv5way_step3000	bam_Latn	ita_Latn	tail	head	Mande	Romance	Latn	Latn	-0.502157
v52_random_conv5way_step3000	bam_Latn	jav_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.369704
v52_random_conv5way_step3000	bam_Latn	kor_Hang	tail	head	Mande	Koreanic	Latn	Hang	-0.264543
v52_random_conv5way_step3000	bam_Latn	lao_Laoo	tail	head	Mande	Kra-Dai	Latn	Laoo	0.202427
v52_random_conv5way_step3000	bam_Latn	lij_Latn	tail	tail	Mande	Romance	Latn	Latn	0.401137
v52_random_conv5way_step3000	bam_Latn	mar_Deva	tail	head	Mande	Indo-Aryan	Latn	Deva	-0.107626
v52_random_conv5way_step3000	bam_Latn	mlg_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.434312
v52_random_conv5way_step3000	bam_Latn	msa_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.321341
v52_random_conv5way_step3000	bam_Latn	nld_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.441080
v52_random_conv5way_step3000	bam_Latn	pol_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.541973
v52_random_conv5way_step3000	bam_Latn	por_Latn	tail	head	Mande	Romance	Latn	Latn	-0.593930
v52_random_conv5way_step3000	bam_Latn	ron_Latn	tail	head	Mande	Romance	Latn	Latn	-0.515886
v52_random_conv5way_step3000	bam_Latn	slk_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.505146
v52_random_conv5way_step3000	bam_Latn	slv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.446659
v52_random_conv5way_step3000	bam_Latn	tgl_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.034333
v52_random_conv5way_step3000	bam_Latn	xav_Latn	tail	tail	Mande	Macro-Je	Latn	Latn	0.391384
v52_random_conv5way_step3000	bam_Latn	xho_Latn	tail	head	Mande	Bantu	Latn	Latn	0.731471
v52_random_conv5way_step3000	cat_Latn	ara_Arab	head	head	Romance	Semitic	Latn	Arab	-0.144638
v52_random_conv5way_step3000	cat_Latn	bam_Latn	head	tail	Romance	Mande	Latn	Latn	-0.422886
v52_random_conv5way_step3000	cat_Latn	cat_Latn	head	head	Romance	Romance	Latn	Latn	1.000000
v52_random_conv5way_step3000	cat_Latn	ces_Latn	head	head	Romance	Slavic	Latn	Latn	0.187603
v52_random_conv5way_step3000	cat_Latn	cmn_Hani	head	head	Romance	Sinitic	Latn	Hani	-0.110470
v52_random_conv5way_step3000	cat_Latn	csb_Latn	head	tail	Romance	Slavic	Latn	Latn	-0.278084
v52_random_conv5way_step3000	cat_Latn	deu_Latn	head	head	Romance	Germanic	Latn	Latn	0.210255
v52_random_conv5way_step3000	cat_Latn	dtp_Latn	head	tail	Romance	Austronesian	Latn	Latn	-0.438697
v52_random_conv5way_step3000	cat_Latn	ell_Grek	head	head	Romance	Hellenic	Latn	Grek	0.278605
v52_random_conv5way_step3000	cat_Latn	eng_Latn	head	head	Romance	Germanic	Latn	Latn	0.236807
v52_random_conv5way_step3000	cat_Latn	epo_Latn	head	head	Romance	Constructed	Latn	Latn	0.315080
v52_random_conv5way_step3000	cat_Latn	est_Latn	head	head	Romance	Uralic	Latn	Latn	0.009288
v52_random_conv5way_step3000	cat_Latn	fin_Latn	head	head	Romance	Uralic	Latn	Latn	0.026376
v52_random_conv5way_step3000	cat_Latn	fra_Latn	head	head	Romance	Romance	Latn	Latn	0.674533
v52_random_conv5way_step3000	cat_Latn	fur_Latn	head	tail	Romance	Romance	Latn	Latn	0.122180
v52_random_conv5way_step3000	cat_Latn	hau_Latn	head	head	Romance	Afro-Asiatic	Latn	Latn	-0.445390
v52_random_conv5way_step3000	cat_Latn	heb_Hebr	head	head	Romance	Semitic	Latn	Hebr	0.016397
