model_key	pair_type	group	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_fvt_conv5way_step42000	aligned_bible_src_eng	all	300	0.921934	0.070890	0.874848	0.969161
v52_fvt_conv5way_step42000	aligned_bible_src_eng	v5_target	300	0.921934	0.070890	0.874848	0.969161
v52_fvt_conv5way_step42000	aligned_tatoeba_src_eng	all	300	0.926543	0.199284	0.859972	0.983387
v52_fvt_conv5way_step42000	aligned_tatoeba_src_eng	v5_target	300	0.926543	0.199284	0.859972	0.983387
v52_fvt_conv5way_step42000	roundtrip_eng_pivot	all	300	0.918926	0.033794	0.874848	0.949602
v52_fvt_conv5way_step42000	roundtrip_eng_pivot	v5_target	300	0.918926	0.033794	0.874848	0.949602
v52_fvt_conv5way_step42000	roundtrip_src_eng	all	300	0.918793	0.048445	0.874848	0.949602
v52_fvt_conv5way_step42000	roundtrip_src_eng	v5_target	300	0.918793	0.048445	0.874848	0.949602
v52_fvt_conv5way_step42000	roundtrip_src_pivot	all	300	0.935219	0.312741	0.879220	0.978690
v52_fvt_conv5way_step42000	roundtrip_src_pivot	v5_target	300	0.935219	0.312741	0.879220	0.978690
v52_fvt_conv5way_step42000	same_language_bible_adjacent	all	300	0.978738	0.758563	0.921294	0.997535
v52_fvt_conv5way_step42000	same_language_bible_adjacent	v5_target	300	0.978738	0.758563	0.921294	0.997535
v52_fvt_conv5way_step42000	same_language_tatoeba_adjacent	all	300	0.947514	0.389147	0.879651	0.995409
v52_fvt_conv5way_step42000	same_language_tatoeba_adjacent	v5_target	300	0.947514	0.389147	0.879651	0.995409
