model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_mean_conv5way_step26000	ara_Arab	ara_Arab	head	head	Semitic	Semitic	Arab	Arab	1.000000
v52_mean_conv5way_step26000	ara_Arab	bam_Latn	head	tail	Semitic	Mande	Arab	Latn	-0.192895
v52_mean_conv5way_step26000	ara_Arab	cat_Latn	head	head	Semitic	Romance	Arab	Latn	-0.165967
v52_mean_conv5way_step26000	ara_Arab	ces_Latn	head	head	Semitic	Slavic	Arab	Latn	-0.052828
v52_mean_conv5way_step26000	ara_Arab	cmn_Hani	head	head	Semitic	Sinitic	Arab	Hani	0.125689
v52_mean_conv5way_step26000	ara_Arab	csb_Latn	head	tail	Semitic	Slavic	Arab	Latn	-0.170082
v52_mean_conv5way_step26000	ara_Arab	deu_Latn	head	head	Semitic	Germanic	Arab	Latn	-0.062846
v52_mean_conv5way_step26000	ara_Arab	dtp_Latn	head	tail	Semitic	Austronesian	Arab	Latn	0.006226
v52_mean_conv5way_step26000	ara_Arab	ell_Grek	head	head	Semitic	Hellenic	Arab	Grek	0.133906
v52_mean_conv5way_step26000	ara_Arab	eng_Latn	head	head	Semitic	Germanic	Arab	Latn	0.000769
v52_mean_conv5way_step26000	ara_Arab	epo_Latn	head	head	Semitic	Constructed	Arab	Latn	-0.229014
v52_mean_conv5way_step26000	ara_Arab	est_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.074512
v52_mean_conv5way_step26000	ara_Arab	fin_Latn	head	head	Semitic	Uralic	Arab	Latn	0.017200
v52_mean_conv5way_step26000	ara_Arab	fra_Latn	head	head	Semitic	Romance	Arab	Latn	-0.056183
v52_mean_conv5way_step26000	ara_Arab	fur_Latn	head	tail	Semitic	Romance	Arab	Latn	-0.229036
v52_mean_conv5way_step26000	ara_Arab	hau_Latn	head	head	Semitic	Afro-Asiatic	Arab	Latn	0.034101
v52_mean_conv5way_step26000	ara_Arab	heb_Hebr	head	head	Semitic	Semitic	Arab	Hebr	0.543415
v52_mean_conv5way_step26000	ara_Arab	hrv_Latn	head	head	Semitic	Slavic	Arab	Latn	0.080677
v52_mean_conv5way_step26000	ara_Arab	hun_Latn	head	head	Semitic	Uralic	Arab	Latn	-0.001412
v52_mean_conv5way_step26000	ara_Arab	ile_Latn	head	tail	Semitic	Constructed	Arab	Latn	-0.302188
v52_mean_conv5way_step26000	ara_Arab	ind_Latn	head	head	Semitic	Austronesian	Arab	Latn	0.193092
v52_mean_conv5way_step26000	ara_Arab	ita_Latn	head	head	Semitic	Romance	Arab	Latn	-0.030290
v52_mean_conv5way_step26000	ara_Arab	jav_Latn	head	head	Semitic	Austronesian	Arab	Latn	-0.114656
v52_mean_conv5way_step26000	ara_Arab	kor_Hang	head	head	Semitic	Koreanic	Arab	Hang	0.066810
v52_mean_conv5way_step26000	ara_Arab	lao_Laoo	head	head	Semitic	Kra-Dai	Arab	Laoo	0.090666
