metric	model_key	method	local_step	status	updated_at	out_dir	log_file
embedding_similarity	v52_mean_conv5way_step21000	mean	21000	done	2026-07-01 16:41:18 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-21000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_mean_conv5way_step21000_20260701_164105.log
family_similarity	v52_mean_conv5way_step21000	mean	21000	done	2026-07-01 16:41:32 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/mean/checkpoint-21000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_mean_conv5way_step21000_20260701_164118.log
embedding_similarity	v52_fvt_conv5way_step1000	fvt	1000	done	2026-07-01 16:41:47 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-1000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step1000_20260701_164132.log
family_similarity	v52_fvt_conv5way_step1000	fvt	1000	done	2026-07-01 16:42:06 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-1000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step1000_20260701_164147.log
embedding_similarity	v52_fvt_conv5way_step2000	fvt	2000	done	2026-07-01 16:42:15 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-2000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step2000_20260701_164206.log
family_similarity	v52_fvt_conv5way_step2000	fvt	2000	done	2026-07-01 16:42:36 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-2000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step2000_20260701_164215.log
embedding_similarity	v52_fvt_conv5way_step3000	fvt	3000	done	2026-07-01 16:42:52 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-3000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step3000_20260701_164236.log
family_similarity	v52_fvt_conv5way_step3000	fvt	3000	done	2026-07-01 16:43:12 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-3000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step3000_20260701_164252.log
embedding_similarity	v52_fvt_conv5way_step4000	fvt	4000	done	2026-07-01 16:43:22 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-4000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step4000_20260701_164312.log
family_similarity	v52_fvt_conv5way_step4000	fvt	4000	done	2026-07-01 16:43:42 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-4000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step4000_20260701_164322.log
embedding_similarity	v52_fvt_conv5way_step5000	fvt	5000	done	2026-07-01 16:43:59 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-5000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step5000_20260701_164343.log
family_similarity	v52_fvt_conv5way_step5000	fvt	5000	done	2026-07-01 16:44:19 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-5000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step5000_20260701_164359.log
embedding_similarity	v52_fvt_conv5way_step6000	fvt	6000	done	2026-07-01 16:44:29 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-6000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step6000_20260701_164419.log
family_similarity	v52_fvt_conv5way_step6000	fvt	6000	done	2026-07-01 16:44:49 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-6000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step6000_20260701_164429.log
embedding_similarity	v52_fvt_conv5way_step7000	fvt	7000	done	2026-07-01 16:45:05 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-7000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step7000_20260701_164449.log
family_similarity	v52_fvt_conv5way_step7000	fvt	7000	done	2026-07-01 16:45:24 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-7000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step7000_20260701_164505.log
embedding_similarity	v52_fvt_conv5way_step8000	fvt	8000	done	2026-07-01 16:45:41 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-8000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step8000_20260701_164525.log
family_similarity	v52_fvt_conv5way_step8000	fvt	8000	done	2026-07-01 16:46:00 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-8000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step8000_20260701_164541.log
embedding_similarity	v52_fvt_conv5way_step9000	fvt	9000	done	2026-07-01 16:46:16 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-9000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step9000_20260701_164600.log
family_similarity	v52_fvt_conv5way_step9000	fvt	9000	done	2026-07-01 16:46:35 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-9000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step9000_20260701_164616.log
embedding_similarity	v52_fvt_conv5way_step10000	fvt	10000	done	2026-07-01 16:46:52 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-10000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step10000_20260701_164635.log
family_similarity	v52_fvt_conv5way_step10000	fvt	10000	done	2026-07-01 16:47:11 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-10000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step10000_20260701_164652.log
embedding_similarity	v52_fvt_conv5way_step11000	fvt	11000	done	2026-07-01 16:47:24 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-11000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step11000_20260701_164711.log
family_similarity	v52_fvt_conv5way_step11000	fvt	11000	done	2026-07-01 16:47:43 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-11000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step11000_20260701_164724.log
embedding_similarity	v52_fvt_conv5way_step12000	fvt	12000	done	2026-07-01 16:47:51 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-12000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step12000_20260701_164743.log
family_similarity	v52_fvt_conv5way_step12000	fvt	12000	done	2026-07-01 16:48:11 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-12000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step12000_20260701_164751.log
