model_key	pair_type	group	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_family_mean_conv5way_step6000	aligned_bible_src_eng	all	300	0.906279	-0.030162	0.862390	0.963985
v52_family_mean_conv5way_step6000	aligned_bible_src_eng	v5_target	300	0.906279	-0.030162	0.862390	0.963985
v52_family_mean_conv5way_step6000	aligned_tatoeba_src_eng	all	300	0.911624	0.154205	0.839671	0.984758
v52_family_mean_conv5way_step6000	aligned_tatoeba_src_eng	v5_target	300	0.911624	0.154205	0.839671	0.984758
v52_family_mean_conv5way_step6000	roundtrip_eng_pivot	all	300	0.908266	-0.042730	0.874862	0.945616
v52_family_mean_conv5way_step6000	roundtrip_eng_pivot	v5_target	300	0.908266	-0.042730	0.874862	0.945616
v52_family_mean_conv5way_step6000	roundtrip_src_eng	all	300	0.902609	-0.051193	0.853429	0.945616
v52_family_mean_conv5way_step6000	roundtrip_src_eng	v5_target	300	0.902609	-0.051193	0.853429	0.945616
v52_family_mean_conv5way_step6000	roundtrip_src_pivot	all	300	0.940777	0.388775	0.903710	0.974820
v52_family_mean_conv5way_step6000	roundtrip_src_pivot	v5_target	300	0.940777	0.388775	0.903710	0.974820
v52_family_mean_conv5way_step6000	same_language_bible_adjacent	all	300	0.977155	0.761795	0.925040	0.997566
v52_family_mean_conv5way_step6000	same_language_bible_adjacent	v5_target	300	0.977155	0.761795	0.925040	0.997566
v52_family_mean_conv5way_step6000	same_language_tatoeba_adjacent	all	300	0.945592	0.410292	0.890937	0.999925
v52_family_mean_conv5way_step6000	same_language_tatoeba_adjacent	v5_target	300	0.945592	0.410292	0.890937	0.999925
