metric	method	local_step	model_key	summary_type	group	pairs	mean_cosine	mean_centered_cosine	source_file
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	aligned_tatoeba_src_eng	v5_target	300	0.918509	0.194824	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_eng_pivot	all	300	0.911833	0.009058	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_eng_pivot	v5_target	300	0.911833	0.009058	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_src_eng	all	300	0.909108	0.015861	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_src_eng	v5_target	300	0.909108	0.015861	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_src_pivot	all	300	0.938808	0.360278	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	roundtrip_src_pivot	v5_target	300	0.938808	0.360278	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	same_language_bible_adjacent	all	300	0.977928	0.763407	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	same_language_bible_adjacent	v5_target	300	0.977928	0.763407	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	same_language_tatoeba_adjacent	all	300	0.945098	0.406693	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	same_language_tatoeba_adjacent	v5_target	300	0.945098	0.406693	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/embedding_similarity/similarity_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_head_different_family_different_script	tail_anchored	1856	0.897012	-0.075741	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_head_different_family_same_script	tail_anchored	6100	0.903427	-0.043049	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_head_same_family	tail_anchored	1050	0.923077	0.061229	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_head_same_macro_family	tail_anchored	1550	0.915267	-0.049462	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_tail_different_family	tail_anchored	900	0.904679	0.083060	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_tail_same_family	tail_anchored	50	0.943388	0.281109	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_tail_same_macro_family	tail_anchored	100	0.930098	0.148819	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	20000	v52_family_mean_conv5way_step20000	tail_within_language	tail_anchored	350	0.952603	0.485856	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-20000/family_similarity/family_pair_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	aligned_bible_src_eng	all	300	0.915550	0.036782	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	aligned_bible_src_eng	v5_target	300	0.915550	0.036782	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	aligned_tatoeba_src_eng	all	300	0.923487	0.208179	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	aligned_tatoeba_src_eng	v5_target	300	0.923487	0.208179	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	roundtrip_eng_pivot	all	300	0.913605	0.002033	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	roundtrip_eng_pivot	v5_target	300	0.913605	0.002033	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	roundtrip_src_eng	all	300	0.912237	0.013396	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	roundtrip_src_eng	v5_target	300	0.912237	0.013396	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	roundtrip_src_pivot	all	300	0.937515	0.349893	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	roundtrip_src_pivot	v5_target	300	0.937515	0.349893	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	same_language_bible_adjacent	all	300	0.978103	0.760115	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	same_language_bible_adjacent	v5_target	300	0.978103	0.760115	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	same_language_tatoeba_adjacent	all	300	0.947549	0.407226	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	same_language_tatoeba_adjacent	v5_target	300	0.947549	0.407226	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/embedding_similarity/similarity_summary.tsv
family_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	tail_head_different_family_different_script	tail_anchored	1856	0.899141	-0.076266	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	tail_head_different_family_same_script	tail_anchored	6100	0.905512	-0.043009	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	tail_head_same_family	tail_anchored	1050	0.925386	0.058186	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	tail_head_same_macro_family	tail_anchored	1550	0.918652	-0.048865	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_pair_summary.tsv
