model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_family_mean_conv5way_step21000	bam_Latn	ell_Grek	tail	head	Mande	Hellenic	Latn	Grek	-0.415716
v52_family_mean_conv5way_step21000	bam_Latn	eng_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.331991
v52_family_mean_conv5way_step21000	bam_Latn	epo_Latn	tail	head	Mande	Constructed	Latn	Latn	-0.059373
v52_family_mean_conv5way_step21000	bam_Latn	est_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.166269
v52_family_mean_conv5way_step21000	bam_Latn	fin_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.242224
v52_family_mean_conv5way_step21000	bam_Latn	fra_Latn	tail	head	Mande	Romance	Latn	Latn	-0.395555
v52_family_mean_conv5way_step21000	bam_Latn	fur_Latn	tail	tail	Mande	Romance	Latn	Latn	0.180075
v52_family_mean_conv5way_step21000	bam_Latn	hau_Latn	tail	head	Mande	Afro-Asiatic	Latn	Latn	0.350298
v52_family_mean_conv5way_step21000	bam_Latn	heb_Hebr	tail	head	Mande	Semitic	Latn	Hebr	-0.351246
v52_family_mean_conv5way_step21000	bam_Latn	hrv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.334065
v52_family_mean_conv5way_step21000	bam_Latn	hun_Latn	tail	head	Mande	Uralic	Latn	Latn	-0.359166
v52_family_mean_conv5way_step21000	bam_Latn	ile_Latn	tail	tail	Mande	Constructed	Latn	Latn	0.061900
v52_family_mean_conv5way_step21000	bam_Latn	ind_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.217649
v52_family_mean_conv5way_step21000	bam_Latn	ita_Latn	tail	head	Mande	Romance	Latn	Latn	-0.386403
v52_family_mean_conv5way_step21000	bam_Latn	jav_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.335259
v52_family_mean_conv5way_step21000	bam_Latn	kor_Hang	tail	head	Mande	Koreanic	Latn	Hang	-0.129171
v52_family_mean_conv5way_step21000	bam_Latn	lao_Laoo	tail	head	Mande	Kra-Dai	Latn	Laoo	-0.006993
v52_family_mean_conv5way_step21000	bam_Latn	lij_Latn	tail	tail	Mande	Romance	Latn	Latn	0.199237
v52_family_mean_conv5way_step21000	bam_Latn	mar_Deva	tail	head	Mande	Indo-Aryan	Latn	Deva	-0.115697
v52_family_mean_conv5way_step21000	bam_Latn	mlg_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.348212
v52_family_mean_conv5way_step21000	bam_Latn	msa_Latn	tail	head	Mande	Austronesian	Latn	Latn	-0.160725
