model_key	pair_type	group	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_weighted_fvt_conv5way_step4000	aligned_bible_src_eng	all	300	0.913611	0.004846	0.870228	0.966856
v52_weighted_fvt_conv5way_step4000	aligned_bible_src_eng	v5_target	300	0.913611	0.004846	0.870228	0.966856
v52_weighted_fvt_conv5way_step4000	aligned_tatoeba_src_eng	all	300	0.912193	0.144151	0.836118	0.979714
v52_weighted_fvt_conv5way_step4000	aligned_tatoeba_src_eng	v5_target	300	0.912193	0.144151	0.836118	0.979714
v52_weighted_fvt_conv5way_step4000	roundtrip_eng_pivot	all	300	0.913849	-0.018622	0.874700	0.949706
v52_weighted_fvt_conv5way_step4000	roundtrip_eng_pivot	v5_target	300	0.913849	-0.018622	0.874700	0.949706
v52_weighted_fvt_conv5way_step4000	roundtrip_src_eng	all	300	0.910341	-0.017589	0.870228	0.949706
v52_weighted_fvt_conv5way_step4000	roundtrip_src_eng	v5_target	300	0.910341	-0.017589	0.870228	0.949706
v52_weighted_fvt_conv5way_step4000	roundtrip_src_pivot	all	300	0.938553	0.335309	0.884408	0.983418
v52_weighted_fvt_conv5way_step4000	roundtrip_src_pivot	v5_target	300	0.938553	0.335309	0.884408	0.983418
v52_weighted_fvt_conv5way_step4000	same_language_bible_adjacent	all	300	0.976906	0.743201	0.913653	0.997222
v52_weighted_fvt_conv5way_step4000	same_language_bible_adjacent	v5_target	300	0.976906	0.743201	0.913653	0.997222
v52_weighted_fvt_conv5way_step4000	same_language_tatoeba_adjacent	all	300	0.937449	0.350939	0.822541	0.995468
v52_weighted_fvt_conv5way_step4000	same_language_tatoeba_adjacent	v5_target	300	0.937449	0.350939	0.822541	0.995468
