model_key	pair_type	group	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_mean_conv5way_step39000	aligned_bible_src_eng	all	300	0.922590	0.055371	0.880764	0.961268
v52_mean_conv5way_step39000	aligned_bible_src_eng	v5_target	300	0.922590	0.055371	0.880764	0.961268
v52_mean_conv5way_step39000	aligned_tatoeba_src_eng	all	300	0.925687	0.196221	0.858470	0.983494
v52_mean_conv5way_step39000	aligned_tatoeba_src_eng	v5_target	300	0.925687	0.196221	0.858470	0.983494
v52_mean_conv5way_step39000	roundtrip_eng_pivot	all	300	0.919648	0.029680	0.880764	0.950932
v52_mean_conv5way_step39000	roundtrip_eng_pivot	v5_target	300	0.919648	0.029680	0.880764	0.950932
v52_mean_conv5way_step39000	roundtrip_src_eng	all	300	0.920210	0.035260	0.880764	0.950932
v52_mean_conv5way_step39000	roundtrip_src_eng	v5_target	300	0.920210	0.035260	0.880764	0.950932
v52_mean_conv5way_step39000	roundtrip_src_pivot	all	300	0.937930	0.315384	0.891928	0.979790
v52_mean_conv5way_step39000	roundtrip_src_pivot	v5_target	300	0.937930	0.315384	0.891928	0.979790
v52_mean_conv5way_step39000	same_language_bible_adjacent	all	300	0.979047	0.748263	0.922832	0.997638
v52_mean_conv5way_step39000	same_language_bible_adjacent	v5_target	300	0.979047	0.748263	0.922832	0.997638
v52_mean_conv5way_step39000	same_language_tatoeba_adjacent	all	300	0.945866	0.380000	0.879013	0.998612
v52_mean_conv5way_step39000	same_language_tatoeba_adjacent	v5_target	300	0.945866	0.380000	0.879013	0.998612
