vocab_size	tokenizer_dir	iso	language	script	sentences	avg_chars	avg_words	avg_tokens	tokens_per_word	tokens_per_char	single_char_token_pct	unk_token_pct	blank_or_degenerate_count	p95_seq_len	bottleneck_type	baseline_tokens_per_word	tokens_per_word_delta_pct	baseline_single_char_token_pct	single_char_delta_pct	baseline_unk_token_pct	unk_delta_pct	degenerate_delta	status
16000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_16000	syr	Syriac	Syriac	500	54.292	13.038	24.214	1.857	0.446	15.338	0.000	0	44	weak_or_moderate_fragmentation	4.854	-61.743	74.251	-79.343	0.000	0.000	0	PASS
16000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_16000	usp	Uspanteco	Latin	500	140.944	27.608	59.564	2.157	0.423	32.996	0.000	0	109	high_tokens_per_word+high_single_char_rate	2.502	-13.789	37.852	-12.829	0.000	0.000	0	PASS
32000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_32000	acu	Achuar-Shiwiar	Latin	500	162.584	22.604	39.892	1.765	0.245	19.322	0.000	0	74	weak_or_moderate_fragmentation	2.891	-38.948	21.504	-10.147	0.000	0.000	0	PASS
32000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_32000	ake	Akawaio	Latin	500	124.292	23.604	52.370	2.219	0.421	35.570	0.000	0	92	high_tokens_per_word+high_single_char_rate	3.311	-32.981	60.238	-40.951	0.000	0.000	0	PASS
32000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_32000	bsn	Barasana-Eduria	Latin	500	193.088	30.008	54.512	1.817	0.282	22.289	0.000	0	113	weak_or_moderate_fragmentation	3.520	-48.381	39.333	-43.333	0.000	0.000	0	PASS
32000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_32000	chr	Cherokee	Cherokee	500	58.838	13.176	29.388	2.230	0.499	21.002	0.000	0	52	high_tokens_per_word	2.253	-1.021	11.252	86.651	0.000	0.000	0	PASS
32000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_32000	cop	Coptic	Coptic	500	81.548	14.942	26.886	1.799	0.330	10.675	0.000	0	46	weak_or_moderate_fragmentation	2.066	-12.924	3.265	226.953	0.000	0.000	0	PASS
32000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_32000	kbh	Camsa	Latin	500	207.472	27.980	50.834	1.817	0.245	21.261	0.000	0	76	weak_or_moderate_fragmentation	3.564	-49.018	30.394	-30.049	0.000	0.000	0	PASS
32000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_32000	nhg	Nahuatl (Tetelcingo)	Latin	500	152.364	22.450	35.668	1.589	0.234	15.986	0.000	0	65	weak_or_moderate_fragmentation	2.943	-46.007	24.075	-33.599	0.000	0.000	0	PASS
32000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_32000	oji	Ojibwa	Aboriginal Syllabics	500	77.274	17.582	34.684	1.973	0.449	16.953	0.000	0	60	weak_or_moderate_fragmentation	2.111	-6.537	6.104	177.736	0.000	0.000	0	PASS
32000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_32000	syr	Syriac	Syriac	500	54.292	13.038	20.848	1.599	0.384	11.972	0.000	0	37	weak_or_moderate_fragmentation	4.854	-67.058	74.251	-83.876	0.000	0.000	0	PASS
32000	/home/axt/mnt2/jongha/second_try/artifacts/03_vocab_extension/tokenizers/xlmr_target10_added_32000	usp	Uspanteco	Latin	500	140.944	27.608	58.850	2.132	0.418	32.697	0.000	0	107	high_tokens_per_word+high_single_char_rate	2.502	-14.788	37.852	-13.619	0.000	0.000	0	PASS
