model_key	pair_type	group	pairs	mean_cosine	mean_centered_cosine	min_cosine	max_cosine
v52_family_mean_conv5way_step36000	aligned_bible_src_eng	all	300	0.913820	0.033140	0.868010	0.964194
v52_family_mean_conv5way_step36000	aligned_bible_src_eng	v5_target	300	0.913820	0.033140	0.868010	0.964194
v52_family_mean_conv5way_step36000	aligned_tatoeba_src_eng	all	300	0.923148	0.208321	0.854951	0.983635
v52_family_mean_conv5way_step36000	aligned_tatoeba_src_eng	v5_target	300	0.923148	0.208321	0.854951	0.983635
v52_family_mean_conv5way_step36000	roundtrip_eng_pivot	all	300	0.912464	0.000887	0.868010	0.946805
v52_family_mean_conv5way_step36000	roundtrip_eng_pivot	v5_target	300	0.912464	0.000887	0.868010	0.946805
v52_family_mean_conv5way_step36000	roundtrip_src_eng	all	300	0.910412	0.009647	0.868010	0.949172
v52_family_mean_conv5way_step36000	roundtrip_src_eng	v5_target	300	0.910412	0.009647	0.868010	0.949172
v52_family_mean_conv5way_step36000	roundtrip_src_pivot	all	300	0.936234	0.345558	0.888970	0.974841
v52_family_mean_conv5way_step36000	roundtrip_src_pivot	v5_target	300	0.936234	0.345558	0.888970	0.974841
v52_family_mean_conv5way_step36000	same_language_bible_adjacent	all	300	0.978053	0.765890	0.924094	0.997866
v52_family_mean_conv5way_step36000	same_language_bible_adjacent	v5_target	300	0.978053	0.765890	0.924094	0.997866
v52_family_mean_conv5way_step36000	same_language_tatoeba_adjacent	all	300	0.947662	0.411262	0.889782	0.998843
v52_family_mean_conv5way_step36000	same_language_tatoeba_adjacent	v5_target	300	0.947662	0.411262	0.889782	0.998843
